book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331103300,Kenya Gold Mercury-Free ASGM Project,60000000,20000000,0,20000000,0,0,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331103500,Kenya ETF Reporting Programme to UNFCCC Project,100000000,100000000,0,100000000,100000000,82000000,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331103600,Global Development Review of NIPs,23000000,15000000,0,15000000,0,0,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331103700,Forest Management for Improved Biodiversity Conservation & Climate,129796186,195000000,0,195000000,565000000,465000000,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331104000,UNEP - Early action Support (EAS) Project,13000000,14000000,0,14000000,0,0,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331104100,Agroforestry and Commercial Forestry 2575,10000000,230000000,0,230000000,225000000,235000000,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331104200,Increasing Global Implementation of GHS,10000000,20000000,0,20000000,0,0,973,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331104300,Lake Naivasha Basin Ecosystem Based Management,70000000,122000000,0,122000000,112000000,102000000,973,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331104400,Enhancing Community Resilience & Water Security,300000000,613000000,0,613000000,136000000,0,973,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331104500,Restoration of Wetlands and Degraded Ecosystems,274906253,121000000,0,121000000,180000000,240000000,973,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331104700,Environment Complaints Management System,10000000,10000000,0,10000000,15000000,25000000,973,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331104900,Monitoring and Evaluation,0,50000000,0,50000000,70000000,100000000,973,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331105000,Track & Report on Kenya's NDC Progress & Achievements,0,200000000,0,200000000,0,0,973,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331105100,Circular Persistent Organic Pollutants(POPs)-Free Plastics Africa,0,100000000,0,100000000,0,0,973,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,vote_total,,TOTAL FOR VOTE,1683702439,5015000000,0,5015000000,2392000000,2796000000,973,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332100100,Suswa Lake Magadi - Migori Environment Restoration Project,50000000,65000000,0,65000000,94700000,151600000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332100500,Construction of Farmers Resource Centre- Migori,5000000,0,0,0,5000000,10000000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332100600,Construction of Farmers Resource Centre- Taita Taveta,5000000,0,0,0,5000000,10000000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332100700,Installation of water hydrants in Muguga and Kitui Centres,2000000,0,0,0,2000000,2000000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332100800,Development of TIVA forest as a centre of excellence for dryland,10000000,0,0,0,10000000,20000000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332100900,Development of forest research technologies,0,0,0,0,20000000,40000000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332101100,Forest Plantations,65000000,65000000,0,65000000,96000000,145000000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332101200,Farm and Dryland Forest Development,30000000,30000000,0,30000000,76000000,128100000,997,yes
