book,vote,vote_title,programme_code,programme_title,prog_level,section,row_type,econ_code,econ_title,baseline_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,current,econ,2600000,Current Transfers to Govt. Agencies,2790700000,2585290000,3248000000,3653000000,587,yes
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,current,econ,3100000,Non Financial Assets,24882032,23972273,37559246,41065403,587,yes
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,capital,econ,2200000,Use of Goods and Services,1438257366,2028355159,1623200000,1857650000,587,yes
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,6712795005,6345697195,17043200000,21070100000,587,yes
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,capital,econ,3100000,Non Financial Assets,436148260,957847646,1436600000,495250000,587,yes
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,current,current_total,,Current Expenditure,3627927301,3443884217,4224000000,4788000000,587,yes
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,capital,capital_total,,Capital Expenditure,8587200631,9331900000,20103000000,23423000000,587,yes
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,total,total,,Total Expenditure,12215127932,12775784217,24327000000,28211000000,587,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,current,econ,2100000,Compensation to Employees,483277817,591000000,702000000,723000000,601,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,current,econ,2200000,Use of Goods and Services,1176544593,1241753389,1291210246,1443210246,601,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,current,econ,2600000,Current Transfers to Govt. Agencies,4350500000,4144000000,4509000000,4922000000,601,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,current,econ,3100000,Non Financial Assets,79884358,41480000,39350000,39350000,601,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,capital,econ,2200000,Use of Goods and Services,60200820,42310574,42310574,52310574,601,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,173882583,192430000,212430000,252430000,601,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,capital,econ,3100000,Non Financial Assets,91194707,162699180,172699180,182699180,601,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,current,current_total,,Current Expenditure,6090206768,6018233389,6541560246,7127560246,601,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,capital,capital_total,,Capital Expenditure,325278110,397439754,427439754,487439754,601,yes
fy-2026-27-program-based-1011-2151,1123,State Department for Broadcasting & Telecommunications,1123,State Department for Broadcasting & Telecommunications,vote,total,total,,Total Expenditure,6415484878,6415673143,6969000000,7615000000,601,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,current,econ,2100000,Compensation to Employees,255299837,1082507806,262050000,269910000,611,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,current,econ,2200000,Use of Goods and Services,202941834,837912009,191172910,202300850,611,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,current,econ,2600000,Current Transfers to Govt. Agencies,5194096004,1558509000,1456040000,1560680000,611,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,current,econ,3100000,Non Financial Assets,323000,9120160,11717090,11869150,611,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,capital,econ,2200000,Use of Goods and Services,0,3800000000,0,0,611,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,19491000000,24924250000,18900000000,19901700000,611,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,capital,econ,3100000,Non Financial Assets,20000000,34630000,0,0,611,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,current,current_total,,Current Expenditure,5652660675,3488048975,1920980000,2044760000,611,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,capital,capital_total,,Capital Expenditure,19511000000,28758880000,18900000000,19901700000,611,yes
fy-2026-27-program-based-1011-2151,1132,State Department for Sports,1132,State Department for Sports,vote,total,total,,Total Expenditure,25163660675,32246928975,20820980000,21946460000,611,yes
fy-2026-27-program-based-1011-2151,1134,"State Department for Culture, The Arts and Heritage",1134,"State Department for Culture, The Arts and Heritage",vote,current,econ,2100000,Compensation to Employees,268720000,273120000,281270000,289640000,627,yes
